0,ID,Season,Home,Away,TossWin,TossDec,Venue,Winner
1,2008_1,2008,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Away
2,2008_2,2008,KXIP,CSK,Away,bat,Punjab Cricket Association IS Bindra Stadium,Away
3,2008_3,2008,DD,RR,Away,bat,Arun Jaitley Stadium,Home
4,2008_4,2008,KKR,DC,Away,bat,Eden Gardens,Home
5,2008_5,2008,MI,RCB,Home,bat,Wankhede Stadium,Away
6,2008_6,2008,RR,KXIP,Away,bat,Sawai Mansingh Stadium,Home
7,2008_7,2008,DC,DD,Home,bat,Rajiv Gandhi International Stadium,Away
8,2008_8,2008,CSK,MI,Away,field,MA Chidambaram Stadium,Home
9,2008_9,2008,DC,RR,Away,field,Rajiv Gandhi International Stadium,Away
10,2008_10,2008,KXIP,MI,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
11,2008_11,2008,CSK,KKR,Away,bat,MA Chidambaram Stadium,Home
12,2008_12,2008,RCB,RR,Away,field,M.Chinnaswamy Stadium,Away
13,2008_13,2008,KXIP,DD,Away,bat,Punjab Cricket Association IS Bindra Stadium,Home
14,2008_14,2008,DC,MI,Home,field,Dr DY Patil Sports Academy,Home
15,2008_15,2008,RCB,CSK,Away,bat,M.Chinnaswamy Stadium,Away
16,2008_16,2008,KKR,MI,Home,bat,Eden Gardens,Away
17,2008_17,2008,DD,RCB,Away,field,Arun Jaitley Stadium,Home
18,2008_18,2008,RR,KKR,Home,bat,Sawai Mansingh Stadium,Home
19,2008_19,2008,DC,KXIP,Away,field,Rajiv Gandhi International Stadium,Away
20,2008_20,2008,CSK,DD,Home,bat,MA Chidambaram Stadium,Away
21,2008_21,2008,RCB,DC,Away,field,M.Chinnaswamy Stadium,Home
22,2008_22,2008,KXIP,KKR,Home,bat,Punjab Cricket Association IS Bindra Stadium,Home
23,2008_23,2008,MI,DD,Away,field,Dr DY Patil Sports Academy,Home
24,2008_24,2008,RR,CSK,Away,bat,Sawai Mansingh Stadium,Home
25,2008_25,2008,RCB,KXIP,Away,field,M.Chinnaswamy Stadium,Away
26,2008_26,2008,CSK,DC,Away,field,MA Chidambaram Stadium,Away
27,2008_27,2008,MI,RR,Home,field,Dr DY Patil Sports Academy,Home
28,2008_28,2008,DD,CSK,Away,field,Arun Jaitley Stadium,Away
29,2008_29,2008,KKR,RCB,Home,bat,Eden Gardens,Home
30,2008_30,2008,RR,DC,Home,field,Sawai Mansingh Stadium,Home
31,2008_31,2008,CSK,KXIP,Away,field,MA Chidambaram Stadium,Home
32,2008_32,2008,DC,KKR,Away,bat,Rajiv Gandhi International Stadium,Away
33,2008_33,2008,RR,DD,Home,field,Sawai Mansingh Stadium,Home
34,2008_34,2008,KXIP,RCB,Away,bat,Punjab Cricket Association IS Bindra Stadium,Home
35,2008_35,2008,KKR,DD,Home,bat,Eden Gardens,Home
36,2008_36,2008,MI,CSK,Home,field,Wankhede Stadium,Home
37,2008_37,2008,DD,DC,Away,field,Arun Jaitley Stadium,Home
38,2008_38,2008,MI,KKR,Home,field,Wankhede Stadium,Home
39,2008_39,2008,RR,RCB,Away,field,Sawai Mansingh Stadium,Home
40,2008_40,2008,DD,KXIP,Home,bat,Arun Jaitley Stadium,Away
41,2008_41,2008,KKR,CSK,Home,bat,Eden Gardens,Away
42,2008_42,2008,DC,MI,Home,field,Rajiv Gandhi International Stadium,Away
43,2008_43,2008,RCB,DD,Away,field,M.Chinnaswamy Stadium,Away
44,2008_44,2008,KKR,RR,Away,field,Eden Gardens,Away
45,2008_45,2008,MI,KXIP,Home,field,Wankhede Stadium,Away
46,2008_46,2008,CSK,RCB,Away,bat,MA Chidambaram Stadium,Away
47,2008_47,2008,DD,KKR,none,none,Arun Jaitley Stadium,Tie
48,2008_48,2008,KXIP,DC,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
49,2008_49,2008,CSK,RR,Away,bat,MA Chidambaram Stadium,Away
50,2008_50,2008,DD,MI,Home,field,Arun Jaitley Stadium,Home
51,2008_51,2008,DC,RCB,Home,bat,Rajiv Gandhi International Stadium,Away
52,2008_52,2008,KKR,KXIP,Away,bat,Eden Gardens,Home
53,2008_53,2008,RR,MI,Home,field,Sawai Mansingh Stadium,Home
54,2008_54,2008,DC,CSK,Home,bat,Rajiv Gandhi International Stadium,Away
55,2008_55,2008,RCB,MI,Away,field,M.Chinnaswamy Stadium,Away
56,2008_56,2008,KXIP,RR,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
57,2008_57,2008,RR,DD,Away,field,Wankhede Stadium,Home
58,2008_58,2008,KXIP,CSK,Home,bat,Wankhede Stadium,Away
59,2008_59,2008,CSK,RR,Away,field,Dr DY Patil Sports Academy,Away
60,2009_1,2009,MI,CSK,Away,field,Newlands,Home
61,2009_2,2009,RCB,RR,Home,bat,Newlands,Home
62,2009_3,2009,KXIP,DD,Away,field,Newlands,Away
63,2009_4,2009,KKR,DC,Home,bat,Newlands,Away
64,2009_5,2009,CSK,RCB,Home,bat,St George's Park,Home
65,2009_6,2009,KXIP,KKR,Away,field,Kingsmead,Away
66,2009_7,2009,MI,RR,none,none,Kingsmead,Tie
67,2009_8,2009,DC,RCB,Home,bat,Newlands,Home
68,2009_9,2009,DD,CSK,Home,bat,Kingsmead,Home
69,2009_10,2009,RR,KKR,Away,field,Newlands,Home
70,2009_11,2009,RCB,KXIP,Home,bat,Kingsmead,Away
71,2009_12,2009,DC,MI,Home,bat,Kingsmead,Home
72,2009_13,2009,CSK,KKR,none,none,Newlands,Tie
73,2009_14,2009,RCB,DD,Home,bat,St George's Park,Away
74,2009_15,2009,KXIP,RR,Home,bat,Newlands,Home
75,2009_16,2009,CSK,DC,Away,field,Kingsmead,Away
76,2009_17,2009,MI,KKR,Home,bat,St George's Park,Home
77,2009_18,2009,DD,RR,Home,bat,SuperSport Park,Away
78,2009_19,2009,KKR,RCB,Home,bat,Kingsmead,Away
79,2009_20,2009,KXIP,MI,Home,bat,Kingsmead,Home
80,2009_21,2009,DC,DD,Away,field,SuperSport Park,Away
81,2009_22,2009,CSK,RR,Away,field,SuperSport Park,Home
82,2009_23,2009,MI,KKR,Home,bat,Buffalo Park,Home
83,2009_24,2009,RCB,KXIP,Home,bat,Kingsmead,Home
84,2009_25,2009,DC,RR,Home,bat,St George's Park,Away
85,2009_26,2009,CSK,DD,Away,field,The Wanderers Stadium,Home
86,2009_27,2009,KKR,KXIP,Home,bat,St George's Park,Away
87,2009_28,2009,MI,RCB,Home,bat,The Wanderers Stadium,Away
88,2009_29,2009,CSK,DC,Home,bat,Buffalo Park,Home
89,2009_30,2009,RR,KXIP,Away,field,Kingsmead,Home
90,2009_31,2009,KKR,DD,Home,bat,Kingsmead,Away
91,2009_32,2009,DC,MI,Home,bat,SuperSport Park,Home
92,2009_33,2009,RCB,RR,Away,field,SuperSport Park,Away
93,2009_34,2009,CSK,KXIP,Home,bat,SuperSport Park,Home
94,2009_35,2009,MI,DD,Home,bat,Buffalo Park,Away
95,2009_36,2009,DC,KXIP,Away,field,Diamond Oval,Away
96,2009_37,2009,RR,CSK,Home,bat,Diamond Oval,Away
97,2009_38,2009,MI,RCB,Home,bat,St George's Park,Home
98,2009_39,2009,KKR,DD,Away,field,The Wanderers Stadium,Away
99,2009_40,2009,DC,RR,Home,bat,Diamond Oval,Home
100,2009_41,2009,KKR,RCB,Away,field,SuperSport Park,Away
101,2009_42,2009,KXIP,MI,Home,bat,SuperSport Park,Away
102,2009_43,2009,DD,DC,Away,field,Kingsmead,Home
103,2009_44,2009,CSK,RCB,Home,bat,Kingsmead,Away
104,2009_45,2009,RR,MI,Home,bat,Kingsmead,Home
105,2009_46,2009,DD,KXIP,Away,field,Mangaung Oval,Away
106,2009_47,2009,MI,CSK,Home,bat,St George's Park,Away
107,2009_48,2009,KKR,DC,Away,field,The Wanderers Stadium,Away
108,2009_49,2009,KXIP,DC,Away,field,The Wanderers Stadium,Home
109,2009_50,2009,DD,RR,Home,bat,Mangaung Oval,Home
110,2009_51,2009,CSK,KKR,Home,bat,SuperSport Park,Away
111,2009_52,2009,DD,RCB,Home,bat,The Wanderers Stadium,Away
112,2009_53,2009,RR,KKR,Away,field,Kingsmead,Away
113,2009_54,2009,CSK,KXIP,Home,bat,Kingsmead,Home
114,2009_55,2009,MI,DD,Away,field,SuperSport Park,Away
115,2009_56,2009,RCB,DC,Home,bat,SuperSport Park,Home
116,2009_57,2009,DD,DC,Away,field,SuperSport Park,Away
117,2009_58,2009,CSK,RCB,Away,field,The Wanderers Stadium,Away
118,2009_59,2009,DC,RCB,Away,field,The Wanderers Stadium,Home
119,2010_1,2010,DC,KKR,Home,field,Dr DY Patil Sports Academy,Away
120,2010_2,2010,RR,MI,Away,bat,Brabourne Stadium,Away
121,2010_3,2010,KXIP,DD,Away,field,Punjab Cricket Association IS Bindra Stadium,Away
122,2010_4,2010,KKR,RCB,Home,field,Eden Gardens,Home
123,2010_5,2010,CSK,DC,Away,bat,MA Chidambaram Stadium,Away
124,2010_6,2010,RR,DD,Away,field,Sardar Patel (Gujarat) Stadium,Away
125,2010_7,2010,RCB,KXIP,Away,bat,M.Chinnaswamy Stadium,Home
126,2010_8,2010,KKR,CSK,Away,bat,Eden Gardens,Away
127,2010_9,2010,DD,MI,Home,field,Arun Jaitley Stadium,Away
128,2010_10,2010,RCB,RR,Home,field,M.Chinnaswamy Stadium,Home
129,2010_11,2010,DD,CSK,Home,bat,Arun Jaitley Stadium,Away
130,2010_12,2010,KXIP,DC,Home,field,Barabati Stadium,Away
131,2010_13,2010,RR,KKR,Home,bat,Sardar Patel (Gujarat) Stadium,Home
132,2010_14,2010,MI,RCB,Home,bat,Brabourne Stadium,Away
133,2010_15,2010,DC,DD,Home,bat,Barabati Stadium,Home
134,2010_16,2010,CSK,KXIP,Home,field,MA Chidambaram Stadium,Away
135,2010_17,2010,MI,KKR,Away,bat,Brabourne Stadium,Home
136,2010_18,2010,RCB,CSK,Away,field,M.Chinnaswamy Stadium,Home
137,2010_19,2010,KXIP,RR,Home,field,Punjab Cricket Association IS Bindra Stadium,Away
138,2010_20,2010,RCB,DD,Home,field,M.Chinnaswamy Stadium,Away
139,2010_21,2010,MI,CSK,Home,field,Brabourne Stadium,Home
140,2010_22,2010,RR,DC,Away,bat,Sardar Patel (Gujarat) Stadium,Home
141,2010_23,2010,KXIP,KKR,Away,bat,Punjab Cricket Association IS Bindra Stadium,Away
142,2010_24,2010,RR,CSK,Home,bat,Sardar Patel (Gujarat) Stadium,Home
143,2010_25,2010,DC,MI,Home,field,Dr DY Patil Sports Academy,Away
144,2010_26,2010,DD,KKR,Home,bat,Arun Jaitley Stadium,Home
145,2010_27,2010,MI,KXIP,Home,field,Brabourne Stadium,Home
146,2010_28,2010,CSK,RCB,Away,bat,MA Chidambaram Stadium,Home
147,2010_29,2010,DD,RR,Home,bat,Arun Jaitley Stadium,Home
148,2010_30,2010,KKR,DC,Home,bat,Eden Gardens,Home
149,2010_31,2010,KXIP,RCB,Home,bat,Punjab Cricket Association IS Bindra Stadium,Away
150,2010_32,2010,CSK,RR,Home,bat,MA Chidambaram Stadium,Home
151,2010_33,2010,MI,DC,Home,bat,Brabourne Stadium,Home
152,2010_34,2010,KKR,KXIP,Home,bat,Eden Gardens,Away
153,2010_35,2010,DD,RCB,Home,bat,Arun Jaitley Stadium,Home
154,2010_36,2010,RR,DC,Home,bat,Vidarbha Cricket Association Stadium,Home
155,2010_37,2010,CSK,MI,Home,bat,MA Chidambaram Stadium,Home
156,2010_38,2010,RR,KXIP,Away,bat,Sawai Mansingh Stadium,Home
157,2010_39,2010,KKR,DD,Home,bat,Eden Gardens,Home
158,2010_40,2010,RCB,DC,Away,field,M.Chinnaswamy Stadium,Away
159,2010_41,2010,KXIP,MI,Away,bat,Punjab Cricket Association IS Bindra Stadium,Home
160,2010_42,2010,CSK,DC,Home,bat,Vidarbha Cricket Association Stadium,Away
161,2010_43,2010,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Home
162,2010_44,2010,DD,KXIP,Home,bat,Arun Jaitley Stadium,Away
163,2010_45,2010,RR,MI,Home,field,Sawai Mansingh Stadium,Away
164,2010_46,2010,DC,RCB,Away,field,Vidarbha Cricket Association Stadium,Home
165,2010_47,2010,MI,DD,Home,bat,Brabourne Stadium,Home
166,2010_48,2010,CSK,KKR,Away,bat,MA Chidambaram Stadium,Home
167,2010_49,2010,RR,RCB,Home,bat,Sawai Mansingh Stadium,Away
168,2010_50,2010,CSK,DD,Home,bat,MA Chidambaram Stadium,Away
169,2010_51,2010,KXIP,DC,Away,field,Himachal Pradesh Cricket Association Stadium,Away
170,2010_52,2010,RCB,MI,Home,field,M.Chinnaswamy Stadium,Away
171,2010_53,2010,KKR,RR,Away,bat,Eden Gardens,Home
172,2010_54,2010,KXIP,CSK,Away,field,Himachal Pradesh Cricket Association Stadium,Away
173,2010_55,2010,DD,DC,Away,bat,Arun Jaitley Stadium,Away
174,2010_56,2010,KKR,MI,Away,bat,Eden Gardens,Home
175,2010_57,2010,MI,RCB,Home,bat,Dr DY Patil Sports Academy,Home
176,2010_58,2010,DC,CSK,Away,bat,Dr DY Patil Sports Academy,Away
177,2010_59,2010,DC,RCB,Home,bat,Dr DY Patil Sports Academy,Away
178,2010_60,2010,MI,CSK,Away,bat,Dr DY Patil Sports Academy,Away
179,2011_1,2011,CSK,KKR,Home,bat,MA Chidambaram Stadium,Home
180,2011_2,2011,DC,RR,Away,field,Rajiv Gandhi International Stadium,Away
181,2011_3,2011,Kochi,RCB,Home,bat,Nehru Stadium,Away
182,2011_4,2011,DD,MI,Home,bat,Arun Jaitley Stadium,Away
183,2011_5,2011,KXIP,PWI,Home,bat,Dr DY Patil Sports Academy,Away
184,2011_6,2011,KKR,DC,Home,bat,Eden Gardens,Home
185,2011_7,2011,RR,DD,Away,bat,Sawai Mansingh Stadium,Home
186,2011_8,2011,RCB,MI,Away,field,M.Chinnaswamy Stadium,Away
187,2011_9,2011,KXIP,CSK,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
188,2011_10,2011,Kochi,PWI,Home,bat,Dr DY Patil Sports Academy,Away
189,2011_11,2011,DC,RCB,Away,field,Rajiv Gandhi International Stadium,Home
190,2011_12,2011,RR,KKR,Away,field,Sawai Mansingh Stadium,Away
191,2011_13,2011,MI,Kochi,Away,field,Wankhede Stadium,Away
192,2011_14,2011,CSK,RCB,Home,bat,MA Chidambaram Stadium,Home
193,2011_15,2011,DC,KXIP,Away,field,Rajiv Gandhi International Stadium,Away
194,2011_16,2011,PWI,DD,Away,field,Dr DY Patil Sports Academy,Away
195,2011_17,2011,KKR,RR,Home,field,Eden Gardens,Home
196,2011_18,2011,CSK,Kochi,Away,field,Nehru Stadium,Away
197,2011_19,2011,DD,DC,Away,bat,Arun Jaitley Stadium,Away
198,2011_20,2011,RCB,RR,none,none,M.Chinnaswamy Stadium,Tie
199,2011_21,2011,MI,PWI,Away,bat,Wankhede Stadium,Home
200,2011_22,2011,KKR,Kochi,Home,field,Eden Gardens,Away
201,2011_23,2011,KXIP,RR,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
202,2011_24,2011,KKR,RCB,Away,field,Eden Gardens,Away
203,2011_25,2011,MI,CSK,Away,field,Wankhede Stadium,Home
204,2011_26,2011,DD,KXIP,Away,field,Arun Jaitley Stadium,Home
205,2011_27,2011,DC,MI,Home,field,Rajiv Gandhi International Stadium,Away
206,2011_28,2011,RR,Kochi,Home,field,Sawai Mansingh Stadium,Home
207,2011_29,2011,CSK,PWI,Away,field,MA Chidambaram Stadium,Home
208,2011_30,2011,DD,RCB,Away,field,Arun Jaitley Stadium,Away
209,2011_31,2011,PWI,CSK,Home,bat,Dr DY Patil Sports Academy,Away
210,2011_32,2011,DC,Kochi,Away,field,Nehru Stadium,Home
211,2011_33,2011,DD,KKR,Home,field,Arun Jaitley Stadium,Away
212,2011_34,2011,RR,MI,Home,field,Sawai Mansingh Stadium,Home
213,2011_35,2011,RCB,PWI,Away,field,M.Chinnaswamy Stadium,Home
214,2011_36,2011,DD,Kochi,Home,bat,Nehru Stadium,Home
215,2011_37,2011,KKR,KXIP,Home,field,Eden Gardens,Home
216,2011_38,2011,RR,PWI,Home,field,Sawai Mansingh Stadium,Home
217,2011_39,2011,CSK,DC,Home,bat,MA Chidambaram Stadium,Home
218,2011_40,2011,MI,KXIP,Away,field,Wankhede Stadium,Home
219,2011_41,2011,DD,Kochi,Away,field,Arun Jaitley Stadium,Away
220,2011_42,2011,DC,KKR,Home,field,Rajiv Gandhi International Stadium,Away
221,2011_43,2011,CSK,RR,Away,bat,MA Chidambaram Stadium,Home
222,2011_44,2011,MI,PWI,Away,field,Dr DY Patil Sports Academy,Home
223,2011_45,2011,Kochi,KKR,Away,field,Nehru Stadium,Home
224,2011_46,2011,DC,DD,Away,field,Rajiv Gandhi International Stadium,Away
225,2011_47,2011,RCB,KXIP,Away,field,M.Chinnaswamy Stadium,Home
226,2011_48,2011,KKR,CSK,Away,bat,Eden Gardens,Home
227,2011_49,2011,MI,DD,Away,field,Wankhede Stadium,Home
228,2011_50,2011,RCB,Kochi,Away,bat,M.Chinnaswamy Stadium,Home
229,2011_51,2011,KXIP,PWI,Home,bat,Punjab Cricket Association IS Bindra Stadium,Away
230,2011_52,2011,RR,CSK,Home,field,Sawai Mansingh Stadium,Away
231,2011_53,2011,DC,PWI,Home,bat,Rajiv Gandhi International Stadium,Away
232,2011_54,2011,KXIP,MI,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
233,2011_55,2011,RR,RCB,Away,field,Sawai Mansingh Stadium,Away
234,2011_56,2011,CSK,DD,Home,bat,MA Chidambaram Stadium,Home
235,2011_57,2011,KXIP,Kochi,Home,field,Holkar Cricket Stadium,Home
236,2011_58,2011,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Home
237,2011_59,2011,MI,DC,Away,bat,Wankhede Stadium,Away
238,2011_60,2011,KXIP,DD,Away,field,Himachal Pradesh Cricket Association Stadium,Home
239,2011_61,2011,RR,Kochi,Away,field,Holkar Cricket Stadium,Away
240,2011_62,2011,DC,PWI,Home,field,Dr DY Patil Sports Academy,Home
241,2011_63,2011,KXIP,RCB,Home,bat,Himachal Pradesh Cricket Association Stadium,Home
242,2011_64,2011,CSK,Kochi,Home,bat,MA Chidambaram Stadium,Home
243,2011_65,2011,PWI,KKR,Away,field,Dr DY Patil Sports Academy,Away
244,2011_66,2011,MI,RR,Home,bat,Wankhede Stadium,Away
245,2011_67,2011,KXIP,DC,Home,field,Himachal Pradesh Cricket Association Stadium,Away
246,2011_68,2011,DD,PWI,Home,bat,Arun Jaitley Stadium,Tie
247,2011_69,2011,RCB,CSK,Home,field,M.Chinnaswamy Stadium,Home
248,2011_70,2011,KKR,MI,Away,field,Eden Gardens,Away
249,2011_71,2011,RCB,CSK,Away,field,Wankhede Stadium,Away
250,2011_72,2011,MI,KKR,Home,field,Wankhede Stadium,Home
251,2011_73,2011,RCB,MI,Away,field,MA Chidambaram Stadium,Home
252,2011_74,2011,CSK,RCB,Home,bat,MA Chidambaram Stadium,Home
253,2012_1,2012,CSK,MI,Away,field,MA Chidambaram Stadium,Away
254,2012_2,2012,KKR,DD,Away,field,Eden Gardens,Away
255,2012_3,2012,MI,PWI,Home,field,Wankhede Stadium,Away
256,2012_4,2012,RR,KXIP,Away,field,Sawai Mansingh Stadium,Home
257,2012_5,2012,RCB,DD,Away,field,M.Chinnaswamy Stadium,Home
258,2012_6,2012,DC,CSK,Home,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Away
259,2012_7,2012,RR,KKR,Away,field,Sawai Mansingh Stadium,Home
260,2012_8,2012,KXIP,PWI,Away,bat,Maharashtra Cricket Association Stadium,Away
261,2012_9,2012,MI,DC,Away,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home
262,2012_10,2012,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Away
263,2012_11,2012,DD,CSK,Home,field,Arun Jaitley Stadium,Home
264,2012_12,2012,MI,RR,Away,field,Wankhede Stadium,Home
265,2012_13,2012,CSK,RCB,Away,bat,MA Chidambaram Stadium,Home
266,2012_14,2012,KXIP,PWI,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
267,2012_15,2012,KKR,RR,Away,bat,Eden Gardens,Home
